時間戳記,受測編號,1. 樹狀圖中不同的顏色標示是否能幫助你更快速的辨識圖表與圖表之間的上下層與平行關係? ,"2. 圖表上標記的 ""Overall"" 訊息 (淡藍色線)是否能幫助你更快地找到一些發現? ","2-1. 是否會根據""overall"" 訊息來選擇下一張想看的圖表或標示""Like 愛心標記""和 ""See later 星形標記""?",3.圖表上標記的提示點(深藍框線)是否能幫助你更快地找到一些發現? ,"3-1. 是否會根據""提示點"" 訊息來選擇下一張想看的圖表或標示""Like 愛心標記""和 ""See later 星形標記""?","3-2. 是否會根據 ""圖與圖之間的X,Y軸欄位關係(e.g. City->Station)"" 訊息來選擇下一張想看的圖表或標示""Like 愛心標記""和 ""See later 星形標記""?",4. 圖表中提供的資訊是否能幫助您簡單且快速的理解訊息? ,5. 手動調整Y軸欄位統計方式(Aggregation)和X軸欄位排序方式(Sort)是否能幫助您更彈性的探索資料? ,6. 此系統的推薦內容是否能幫助你了解資料的更多面向? ,7. 此系統的推薦內容是否能幫助你更快速的了解資料,8. 此系統的推薦內容是否能幫助你找到有趣的發現? ,9.你是否滿意利用此系統得到的資料發現? ,10. 此系統是否能幫助你有系統性的探索資料? ,11. 此系統是否能啟發你探索資料的方向 ?,12. 此系統介面是否容易操作? ,13. 此系統介面提供的資訊是否容易閱讀與理解 ,14. 使用完此系統後，我能大致了解不同資料的架構,15. 綜合過去資料分析的經驗，此系統是否能提升資料分析的效率? ,16. 綜合過去資料分析的經驗，未來是否會想要使用此系統來分析其他資料? 
2020/2/24 下午 2:31:49,7,5,2,2,5,2,5,5,5,5,5,4,4,4,4,4,4,5,4,4
2020/2/25 下午 6:53:15,12,3,2,3,2,2,2,3,5,4,4,5,3,4,4,5,4,5,4,4
2020/2/26 上午 10:53:32,10,5,3,1,5,2,4,5,5,5,5,5,4,5,4,4,5,4,5,5
2020/2/26 下午 2:14:49,17,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2020/2/27 上午 11:47:59,2,4,4,4,5,5,5,4,5,5,5,5,4,4,5,4,4,4,4,4
2020/2/27 下午 2:35:51,9,4,5,4,5,5,4,5,4,4,4,5,4,4,5,4,5,5,5,5
2020/2/27 下午 4:55:09,5,4,5,2,4,2,2,3,4,5,5,4,4,4,4,3,2,4,4,4
2020/2/27 下午 6:35:09,3,1,3,1,4,5,1,2,1,3,3,3,3,3,2,2,3,3,2,1
2020/2/27 下午 8:59:12,14,4,4,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
2020/2/28 上午 11:36:23,18,4,4,5,2,5,5,4,4,5,4,4,3,2,5,4,3,4,4,5
2020/2/28 下午 2:41:12,11,3,3,2,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5
2020/2/28 下午 4:32:52,21,3,3,4,5,4,5,5,2,4,5,4,5,5,4,4,4,3,5,5
2020/2/29 上午 11:20:40,1,2,1,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4
2020/2/29 下午 2:31:26,20,4,3,4,3,4,3,5,5,4,5,5,4,5,5,3,4,4,5,5
2020/2/29 下午 4:36:44,19,3,2,1,5,4,5,4,5,4,4,4,4,3,4,4,5,4,5,4
2020/3/2 上午 11:48:20,8,4,2,1,5,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4
2020/3/5 上午 11:08:46,24,3,4,1,5,4,4,5,5,4,4,4,4,3,5,4,4,4,4,4
2020/3/5 下午 4:47:38,16,5,5,2,5,2,4,4,5,4,4,5,4,4,4,5,3,4,5,5
2020/3/5 下午 8:37:16,17,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
2020/3/6 下午 2:26:49,22,4,4,3,5,5,5,4,5,5,4,5,5,5,5,4,4,5,4,5
